"Street Address","County","Latitude","Longitude","Federal District","State Upper","State Lower"
"1600 Amphitheatre Parkway, Mountain View, CA 94043","Santa Clara County","37.423069","-122.08432","14","013","022"
"76 Ninth Avenue, New York, NY 10011","New York County","40.741927","-74.004618","8","029","066"
"201 South Division Street, Ann Arbor, MI 48104","Washtenaw County","42.280216","-83.74402","15","018","053"
"10 10th Street NE, Atlanta, GA 30309","Fulton County","33.781477","-84.387256","5","039","059"
"2590 Pearl St., Boulder, CO 80302","Boulder County","40.02174","-105.261002","2","018","010"
"5 Cambridge Center, Cambridge, MA 2142","Middlesex County","42.36359","-71.086678","8","First Suffolk & Middlesex","Twenty-Sixth Middlesex"
"20 West Kinzie St., Chicago, IL 60610","Cook County","41.889235","-87.62879","7","003","005"
"701 Canyon Drive, Coppell, TX 75019","Dallas County","32.98209","-97.017548","26","009","115"
"114 Willits Street, Birmingham, MI 48009","Oakland County","42.547751","-83.215621","9","013","040"
"19540 Jamboree Road, Irvine, CA 92612","Orange County","33.659321","-117.860817","48","035","070"
"4720 Forbes Avenue, Pittsburgh, PA 15213","Allegheny County","40.44454","-79.94604","14","043","023"
"604 Arizona Avenue, Santa Monica, CA 90401","Los Angeles County","34.019562","-118.49456","30","023","041"
"720 4th Avenue, Kirkland, WA 98033","King County","47.6782","-122.195999","1","048","048"
"501 N. 34th Street, Seattle, WA 98103","King County","47.650072","-122.352764","7","043","043"
"1001 Pennsylvania Avenue NW, Washington, DC 20004","District of Columbia","38.89468","-77.026611"
